,Date,Low,High,Close,Open,Volume
11145,2025-03-04,234.6999969482422,240.07000732421875,235.92999267578125,237.7050018310547,53101971.0
11144,2025-03-03,236.11000061035156,244.02999877929688,238.02999877929688,241.7899932861328,47184000.0
11143,2025-02-28,230.1999969482422,242.08999633789062,241.83999633789062,236.9499969482422,56833400.0
11142,2025-02-27,237.05999755859375,242.4600067138672,237.3000030517578,239.41000366210938,41153600.0
11141,2025-02-26,239.1300048828125,244.97999572753906,240.36000061035156,244.3300018310547,44433600.0
11140,2025-02-25,244.91000366210938,250.0,247.0399932861328,248.0,48013300.0
11139,2025-02-24,244.4199981689453,248.86000061035156,247.10000610351562,244.92999267578125,51326400.0
11138,2025-02-21,245.22000122070312,248.69000244140625,245.5500030517578,245.9499969482422,53197400.0
11137,2025-02-20,244.2899932861328,246.77999877929688,245.8300018310547,244.94000244140625,32316900.0
11136,2025-02-19,243.16000366210938,246.00999450683594,244.8699951171875,244.66000366210938,32204200.0
11135,2025-02-18,241.83999633789062,245.17999267578125,244.47000122070312,244.14999389648438,48822500.0
11134,2025-02-14,240.99000549316406,245.5500030517578,244.60000610351562,241.25,40896200.0
11133,2025-02-13,235.57000732421875,242.33999633789062,241.52999877929688,236.91000366210938,53614100.0
11132,2025-02-12,230.67999267578125,236.9600067138672,236.8699951171875,231.1999969482422,45243300.0
11131,2025-02-11,228.1300048828125,235.22999572753906,232.6199951171875,228.1999969482422,53718400.0
11130,2025-02-10,227.1999969482422,230.58999633789062,227.64999389648438,229.57000732421875,33115600.0
11129,2025-02-07,227.0104008794231,233.74300400322835,227.3800048828125,232.3445476829273,39707200.0
11128,2025-02-06,230.17692277145878,233.54323203112875,232.9638671875,231.0359788855247,29925300.0
11127,2025-02-05,228.0193068583431,232.4144684638066,232.21469116210938,228.27901582634638,39620300.0
11126,2025-02-04,226.40107197135944,232.87396618357337,232.54432678222656,227.00041910872287,45067300.0
11125,2025-02-03,225.45212191586603,231.5753945205246,227.75958251953125,229.73741895869952,73063300.0
11124,2025-01-31,233.18362815459494,246.91852728753366,235.74081420898438,246.91852728753366,101075100.0
11123,2025-01-30,236.94948349745044,240.52553823889048,237.3290557861328,238.40787147181928,55658300.0
11122,2025-01-29,233.75299176206667,239.5965730646729,239.0971221923828,233.86287156365174,45486100.0
11121,2025-01-28,230.55650666713984,239.9262098046868,237.99832153320312,230.59647127201654,75707600.0
11120,2025-01-27,223.73399710835045,231.89502211760887,229.6075439453125,223.77396171163917,94863400.0
11119,2025-01-24,221.16683361690275,225.38220009721186,222.5353240966797,224.53312753788666,54697900.0
11118,2025-01-23,222.05586069453574,226.78066167492807,223.41436767578125,224.493183388126,60234800.0
11117,2025-01-22,219.54859611049605,223.87384226456615,223.58416748046875,219.54859611049605,64126500.0
11116,2025-01-21,219.13906319002535,224.17352112887505,222.39547729492188,223.75398423747347,98070400.0
11115,2025-01-17,228.22906438809179,232.03487756376998,229.7274169921875,231.86506609768284,68488300.0
11114,2025-01-16,227.7795647267042,237.74859991927732,228.00930786132812,237.089336348529,71759100.0
11113,2025-01-15,234.17252500331003,238.6975638581554,237.60874938964844,234.38230107288462,39832000.0
11112,2025-01-14,232.21468051006943,235.8606656353981,233.02378845214844,234.49217517741417,39435300.0
11111,2025-01-13,229.46771001708314,234.41227060505477,234.14256286621094,233.27352322575203,49630700.0
11110,2025-01-10,232.74409661721964,239.8962364632009,236.58987426757812,239.7463920626497,61710900.0
