,Date,Low,High,Close,Open,Volume
9821,2025-03-06,392.67999267578125,402.1499938964844,396.8900146484375,394.2799987792969,23273600.0
9820,2025-03-05,388.80999755859375,401.6700134277344,401.0199890136719,389.3399963378906,23433100.0
9819,2025-03-04,381.0,392.5799865722656,388.6099853515625,383.3999938964844,29342900.0
9818,2025-03-03,386.1600036621094,398.82000732421875,388.489990234375,398.82000732421875,23007700.0
9817,2025-02-28,386.57000732421875,397.6300048828125,396.989990234375,392.6600036621094,32845700.0
9816,2025-02-27,392.1700134277344,405.739990234375,392.5299987792969,401.2699890136719,21127400.0
9815,2025-02-26,394.25,403.6000061035156,399.7300109863281,398.010009765625,19619000.0
9814,2025-02-25,396.70001220703125,401.9200134277344,397.8999938964844,401.1000061035156,29387400.0
9813,2025-02-24,399.32000732421875,409.3699951171875,404.0,408.510009765625,26443700.0
9812,2025-02-21,407.8900146484375,418.04998779296875,408.2099914550781,417.3399963378906,27524800.0
9811,2025-02-20,412.5400085449219,419.30999755859375,416.1300048828125,415.2900085449219,23508700.0
9810,2025-02-19,406.8342549807474,414.6585628844229,413.94000244140625,407.06380569744374,24114200.0
9809,2025-02-18,405.6865508328786,409.7783523938356,408.8202819824219,407.18354917543536,21423100.0
9808,2025-02-14,405.06778596420224,408.0917213200678,407.6126708984375,406.9739674594389,22758500.0
9807,2025-02-13,405.54681680905935,410.17754630619044,409.7184753417969,406.185550721702,23891700.0
9806,2025-02-12,403.56079794352274,409.92803560329327,408.2214660644531,406.3951110778186,19121700.0
9805,2025-02-11,408.48093644203584,411.6645553606299,410.6166687011719,408.8202828688126,18140600.0
9804,2025-02-10,410.0977246861568,414.62861779989964,411.3951110839844,412.8821197108573,20817900.0
9803,2025-02-07,407.2833615993766,417.8122379259866,408.9300537109375,415.6465973451397,22886800.0
9802,2025-02-06,413.1715497090401,417.36315732347487,414.9879150390625,413.1715497090401,16309800.0
9801,2025-02-05,409.5787506797878,413.0018796658512,412.4629821777344,411.5248607564065,16316700.0
9800,2025-02-04,408.9200578355856,413.09171636714575,411.5447998046875,411.86416676091864,20532100.0
9799,2025-02-03,407.8422300476431,414.57872255523336,410.09771728515625,410.7763492208031,25679100.0
9798,2025-01-31,414.0797374049759,419.84816997012905,414.22943115234375,418.141600337115,34223400.0
9797,2025-01-30,412.33322134699057,422.0137922192137,414.1595458984375,417.9319804505241,54586300.0
9796,2025-01-29,439.51869372032735,445.98573732495043,441.44482421875,445.79611510422404,23581400.0
9795,2025-01-28,430.51676503368185,447.4827461239755,446.30511474609375,433.73032267022137,23491700.0
9794,2025-01-27,422.6525337820519,434.32913308449037,433.6903991699219,423.16152296669173,35647800.0
9793,2025-01-24,440.5167060042179,445.7562002010948,443.17138671875,444.2691915941594,15549500.0
9792,2025-01-23,440.61650492666485,445.85599903960934,445.8160705566406,441.1155043659929,18389300.0
9791,2025-01-22,435.1275277712005,446.37496460039233,445.30712890625,436.68440364505375,27803800.0
9790,2025-01-21,424.7483264493822,430.03770829379437,427.64251708984375,429.33912735658424,26085700.0
9789,2025-01-17,427.31321381371214,433.61058460419247,428.1714782714844,433.22135040368397,26197500.0
9788,2025-01-16,423.5407549144398,428.6305247845027,423.7303466796875,427.84212760615685,15300000.0
9787,2025-01-15,417.4329894853562,427.29322350331137,425.4569091796875,418.29128437786517,19637800.0
9786,2025-01-14,409.89811945983064,418.9000587938386,414.8382263183594,416.9739281792526,16935900.0
9785,2025-01-13,411.4649750549722,417.66253969684465,416.35516357421875,414.4090535363967,17604800.0
9784,2025-01-10,414.1894746460312,423.86008600637365,418.11163330078125,423.7802594986814,20201100.0
9783,2025-01-08,420.69647292951623,426.11559975123726,423.7104187011719,422.61261379874435,15054600.0
9782,2025-01-07,419.957914728963,429.7882097463078,421.5247802734375,428.1415176926379,18139100.0
9781,2025-01-06,424.6285829292995,433.450889550372,426.99383544921875,427.1435291929144,20573600.0
9780,2025-01-03,418.7004647827294,423.1814700735548,422.5028381347656,420.2373611517797,16662900.0
9779,2025-01-02,414.01985416103116,425.2174031564215,417.74237060546875,424.67847521686525,16896500.0
9778,2024-12-31,419.81820926028456,425.8760697244736,420.6565246582031,425.24732556190753,13246500.0
9777,2024-12-30,421.05572893712207,426.6944166190143,423.9798583984375,425.2074080072107,13158700.0
9776,2024-12-27,425.49682901810996,434.3490742197977,429.66845703125,433.73031978660106,18117700.0
9775,2024-12-26,435.7562575113133,440.0576302640168,437.2332763671875,438.20133650274425,8194200.0
9774,2024-12-24,433.32113775673025,438.7203153724094,438.4508361816406,433.7802087154167,7164500.0
9773,2024-12-23,431.96385754199804,436.7742196281346,434.3790283203125,435.86603695951885,19152500.0
9772,2024-12-20,427.7722660445124,442.85201454579715,435.726318359375,432.2432815476765,64263700.0
9771,2024-12-19,435.4468858542376,442.29314366547726,436.15545654296875,440.73626782337294,22963700.0
9770,2024-12-18,436.1454548251872,451.7441820228141,436.5147399902344,450.4168569277278,24444500.0
9769,2024-12-17,448.67036888572403,454.3789237624039,453.5505676269531,450.10748972576295,22733500.0
9768,2024-12-16,444.38893932865295,451.27512549789225,450.6863098144531,446.37494735046533,23598800.0
9767,2024-12-13,444.6883184556146,450.5266178755225,446.37493896484375,447.5426110314286,20177800.0
9766,2024-12-12,448.2112581986308,455.24716851093444,448.6603698730469,448.2112581986308,20834800.0
9765,2024-12-11,443.1614051498909,449.4488165759074,448.0915222167969,443.1614051498909,19200200.0
